,,,Date,Sale Amount,Deed Type,Book/Page,Sale Type,Qualified,Built,Bed,Bath,Living,Acres,Pool,,
,Subdivision: SUTTON PLACE TOWNHOMES A REPLAT - 65 items,,,,,,,,,,,,,,,
,,,06/2019,"$220,000",WARRANTY DEED,09377/1476,Improved,Yes,2012,3,2.5,1708,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0280 - 1 item,,,,,,,,,,,,,,
,,,Address: 1068 WINGLEWOOD ST - 4 items,,,,,,,,,,,,,
,,,11/2015,"$169,000",WARRANTY DEED,08580/0763,Improved,Yes,2012,3,2.5,1572,0.03,false,,
,,,11/2015,$100,CORRECTIVE DEED,08605/1038,Improved,No,2012,3,2.5,1572,0.03,false,,
,,,06/2012,"$145,000",SPECIAL WARRANTY DEED,07808/1873,Improved,Yes,2012,3,2.5,1572,0.03,false,,
,,,07/2018,"$207,500",WARRANTY DEED,09190/0326,Improved,Yes,2012,3,2.5,1572,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0290 - 1 item,,,,,,,,,,,,,,
,,,Address: 1066 WINGLEWOOD ST - 1 item,,,,,,,,,,,,,
,,,06/2012,"$131,500",SPECIAL WARRANTY DEED,07789/0696,Improved,Yes,2012,2,2.5,1443,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0300 - 1 item,,,,,,,,,,,,,,
,,,Address: 1064 WINGLEWOOD ST - 3 items,,,,,,,,,,,,,
,,,03/2016,"$175,000",WARRANTY DEED,08668/1173,Improved,Yes,2012,2,2.5,1443,0.03,false,,
,,,10/2014,"$155,000",WARRANTY DEED,08358/0512,Improved,Yes,2012,2,2.5,1443,0.03,false,,
,,,06/2012,"$127,700",SPECIAL WARRANTY DEED,07789/0682,Improved,Yes,2012,2,2.5,1443,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0310 - 1 item,,,,,,,,,,,,,,
,,,Address: 1062 WINGLEWOOD ST - 7 items,,,,,,,,,,,,,
,,,06/2012,"$141,200",SPECIAL WARRANTY DEED,07788/0177,Improved,Yes,2012,3,2.5,1572,0.03,false,,
,,,09/2018,"$200,000",WARRANTY DEED,09222/0845,Improved,Yes,2012,3,2.5,1572,0.03,false,,
,,,11/2018,"$209,500",WARRANTY DEED,09263/1288,Improved,Yes,2012,3,2.5,1572,0.03,false,,
,,,08/2021,"$274,300",WARRANTY DEED,10019/1289,Improved,Yes,2012,3,2.5,1572,0.03,false,,
,,,10/2021,"$275,500",SPECIAL WARRANTY DEED,10074/1751,Improved,Yes,2012,3,2.5,1572,0.03,false,,
,,,11/2021,$100,WARRANTY DEED,10087/1432,Improved,No,2012,3,2.5,1572,0.03,false,,
,,,11/2022,"$325,000",WARRANTY DEED,10363/1220,Improved,Yes,2012,3,2.5,1572,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0320 - 1 item,,,,,,,,,,,,,,
,,,Address: 1060 WINGLEWOOD ST - 3 items,,,,,,,,,,,,,
,,,06/2012,"$141,500",SPECIAL WARRANTY DEED,07788/0179,Improved,Yes,2012,3,2.5,1708,0.03,false,,
,,,06/2019,"$218,000",WARRANTY DEED,09378/0443,Improved,Yes,2012,3,2.5,1708,0.03,false,,
,,,02/2020,$100,CORRECTIVE DEED,09543/0068,Improved,No,2012,3,2.5,1708,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0330 - 1 item,,,,,,,,,,,,,,
,,,Address: 215 STARDALE LN - 4 items,,,,,,,,,,,,,
,,,04/2016,"$198,000",WARRANTY DEED,08674/0091,Improved,Yes,2012,3,2.5,1708,0.03,false,,
,,,04/2012,"$147,100",SPECIAL WARRANTY DEED,07762/0415,Improved,Yes,2012,3,2.5,1708,0.03,false,,
,,,09/2020,"$259,500",WARRANTY DEED,09725/0708,Improved,Yes,2012,3,2.5,1708,0.03,false,,
,,,05/2023,$100,QUIT CLAIM DEED,10438/1290,Improved,No,2012,3,2.5,1708,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0340 - 1 item,,,,,,,,,,,,,,
,,,Address: 213 STARDALE LN - 2 items,,,,,,,,,,,,,
,,,04/2012,"$142,500",SPECIAL WARRANTY DEED,07762/0287,Improved,Yes,2012,3,2.5,1572,0.03,false,,
,,,06/2020,"$225,000",WARRANTY DEED,09639/0241,Improved,Yes,2012,3,2.5,1572,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0350 - 1 item,,,,,,,,,,,,,,
,,,Address: 211 STARDALE LN - 2 items,,,,,,,,,,,,,
,,,03/2012,"$134,400",SPECIAL WARRANTY DEED,07728/1221,Improved,Yes,2012,3,2.5,1572,0.03,false,,
,,,09/2019,"$200,000",WARRANTY DEED,09441/1035,Improved,Yes,2012,3,2.5,1572,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0360 - 1 item,,,,,,,,,,,,,,
,,,Address: 209 STARDALE LN - 3 items,,,,,,,,,,,,,
,,,03/2012,"$145,100",SPECIAL WARRANTY DEED,07734/1171,Improved,Yes,2012,3,2.5,1708,0.03,false,,
,,,03/2021,"$258,000",WARRANTY DEED,09874/0913,Improved,Yes,2012,3,2.5,1708,0.03,false,,
,,,06/2023,"$320,000",WARRANTY DEED,10457/0035,Improved,Yes,2012,3,2.5,1708,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0370 - 1 item,,,,,,,,,,,,,,
,,,Address: 1061 CHARTER OAK LN - 1 item,,,,,,,,,,,,,
,,,01/2009,"$202,100",WARRANTY DEED,07121/0711,Improved,Yes,2008,3,2.5,2286,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0380 - 1 item,,,,,,,,,,,,,,
,,,Address: 1063 CHARTER OAK LN - 2 items,,,,,,,,,,,,,
,,,03/2017,$100,QUIT CLAIM DEED,08883/1553,Improved,No,2008,3,2.5,2176,0.03,false,,
,,,02/2009,"$196,100",WARRANTY DEED,07144/1703,Improved,Yes,2008,3,2.5,2176,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0390 - 1 item,,,,,,,,,,,,,,
,,,Address: 1065 CHARTER OAK LN - 3 items,,,,,,,,,,,,,
,,,02/2016,"$199,900",SPECIAL WARRANTY DEED,08658/1701,Improved,Yes,2008,3,2.5,2176,0.03,false,,
,,,10/2015,"$181,400",SPECIAL WARRANTY DEED,08567/0414,Improved,No,2008,3,2.5,2176,0.03,false,,
,,,03/2009,"$192,500",WARRANTY DEED,07154/0449,Improved,Yes,2008,3,2.5,2176,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0400 - 1 item,,,,,,,,,,,,,,
,,,Address: 1067 CHARTER OAK LN - 1 item,,,,,,,,,,,,,
,,,10/2010,"$189,200",WARRANTY DEED,07469/0179,Improved,Yes,2008,3,2.5,2286,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0410 - 1 item,,,,,,,,,,,,,,
,,,Address: 210 STARDALE LN - 4 items,,,,,,,,,,,,,
,,,12/2014,"$185,000",WARRANTY DEED,08393/0481,Improved,Yes,2010,3,2.5,1708,0.03,false,,
,,,06/2012,$100,TRUSTEE DEED,07806/0153,Improved,No,2010,3,2.5,1708,0.03,false,,
,,,06/2011,"$148,300",SPECIAL WARRANTY DEED,07589/0590,Improved,Yes,2010,3,2.5,1708,0.03,false,,
,,,12/2016,"$203,000",WARRANTY DEED,08826/0503,Improved,Yes,2010,3,2.5,1708,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0420 - 1 item,,,,,,,,,,,,,,
,,,Address: 212 STARDALE LN - 1 item,,,,,,,,,,,,,
,,,05/2011,"$135,000",SPECIAL WARRANTY DEED,07575/1649,Improved,Yes,2010,3,2.5,1572,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0430 - 1 item,,,,,,,,,,,,,,
,,,Address: 214 STARDALE LN - 3 items,,,,,,,,,,,,,
,,,06/2015,"$173,000",WARRANTY DEED,08493/0859,Improved,Yes,2010,3,2.5,1572,0.03,false,,
,,,12/2010,"$134,000",WARRANTY DEED,07505/1315,Improved,Yes,2010,3,2.5,1572,0.03,false,,
,,,01/2018,$100,QUIT CLAIM DEED,09205/1803,Improved,No,2010,3,2.5,1572,0.03,false,,
